ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(I)cc1,4-IBP,25.2,NewLiterature,,10.1016/j.bmc.2022.117033
,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,NE-100,170.0,NewLiterature,,10.1016/j.bmc.2022.117034
,O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1,PRE-084,32100.0,NewLiterature,,10.1016/j.bmc.2022.117035
,COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,PB28,0.68,NewLiterature,,10.1016/j.bmc.2022.117036
,O=C(CN1CCC(CN2Cc3ccccc3C2=O)CC1)c1ccc(F)cc1,Roluperidone(MIN-10),8.19,NewLiterature,,10.1016/j.bmc.2022.117037
,C1=C(c2c[nH]c3ncccc23)CCN(CCCc2ccccc2)C1,Z1241145220,3.7,NewLiterature,,10.1016/j.bmc.2022.117038
,CN1C(=O)CCc2cc(CNC(C)(C)[C@@H](O)c3ccccc3)ccc21,Z4857158944,4.0,NewLiterature,,10.1016/j.bmc.2022.117039
,COc1ccc(C)cc1NC(=O)OC1CC2CCCC(C1)N2CCCCCCCCCCN,SW43,7.7,NewLiterature,,10.1016/j.bmc.2022.117040
,Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1,Siramesine,10.5,NewLiterature,,10.1016/j.bmc.2022.117041
,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(C)ccc1OCCF)CC2,18F-ISO-1,2.0,NewLiterature,,10.1016/j.bmc.2022.117042
,CCN(CC)CCNC(=O)c1ccc(OC)c(I)c1,P-123I-MBA,206.0,NewLiterature,,10.1016/j.bmc.2022.117043
,O=c1sc2cc(CCCF)ccc2n1CCN1CCCCCC1,[18F]FTC-146,364.0,NewLiterature,,10.1016/j.bmc.2022.117044
CHEMBL75286,COc1cccc2c(CCCN3CCN(C4CCCCC4)CC3)cccc12,44,9.24,CHEMBL,CHEMBL807586,CHEMBL1148440
,O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,SYA013,5.6,NewLiterature,,10.1016/j.bmc.2022.117032
,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cc2)CC1,SYA013-D-1,0.6,NewLiterature,,10.1016/j.bmc.2022.117033
,O=C1c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cn2)CC1,SYA013-D-2,0.7,NewLiterature,,10.1016/j.bmc.2022.117034
,O/N=C(\CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,SYA013-D-3,3.5,NewLiterature,,10.1016/j.bmc.2022.117035
,O/N=C1/c2ccc(F)cc2CC1CCN1CCCN(c2ccc(Cl)cc2)CC1,SYA013-D-4,407.0,NewLiterature,,10.1016/j.bmc.2022.117036
,OCC[C@H]1CN(CC2CCCCC2)CCN1Cc1ccc2ccccc2c1,SYA013-D-5,31.0,NewLiterature,,10.1016/j.bmc.2022.117037
